Loi,E,F,N
a::06.3497,"Meurs, van, Jan","Meurs, van, Jan","Meurs, van, Jan"
a::06.3516,"Witte, de, Adriaen [Widow]","Witte, de, Adriaen [Veuve]","Witte, de, Adriaen [Weduwe]"
a::06.3519,"Vos, de, Cornelis","Vos, de, Cornelis","Vos, de, Cornelis"
a::06.3520,"Lesteens, Guilliam & Engelbertus Gymnicus","Lesteens, Guilliam & Engelbertus Gymnicus","Lesteens, Guilliam & Engelbertus Gymnicus"
a::06.3526,"Pauwels, Bartholomeus","Pauwels, Barthélemi","Pauwels, Bartholomeus"
a::06.3527,"Janssens, Paul","Janssens, Paul","Janssens, Pauwels"
a::06.3529,"Oliverius, Joannes & Cornelius Coenesteyn","Oliverius, Joannes & Cornelius Coenesteyn","Oliverius, Joannes & Cornelius Coenesteyn"
a::06.3530,"Ween, vander, Mauritius","Ween, vander, Mauritius","Ween, vander, Mauritius"
a::06.3531,"Sersanders, Antonius [Widow]","Sersanders, Antoine [Veuve]","Sersanders, Antonius [Weduwe]"
a::06.3532,"Steene, vanden, Jan III [Widow and son]","Steene, vanden, Jan III [Veuve et fils]","Steene, vanden, Jan III [Weduwe en zoon]"
a::06.3536,"Graet, Gerlacus","Graet, Gerlacus","Graet, Gerlacus"
a::06.3537,"Berghe, vanden, Baudewyn","Berghe, vanden, Baudewyn","Berghe, vanden, Baudewyn"
a::06.3538,"Steene, vanden, Jan III [Widow]","Steene, vanden, Jan III [Veuve]","Steene, vanden, Jan III [Weduwe]"
a::06.3539,"Laury, de, Michel","Laury, de, Michel","Laury, de, Michiel"
a::06.3541,"Denys, Pieter","Denys, Pieter","Denys, Pieter"
a::06.3544,"Manilius, Bauduyn [Widow]","Manilius, Bauduyn [Veuve]","Manilius, Bauduyn [Weduwe]"
a::06.3546,"Vrints van Trouwenfeldt, Johan Karel","Vrints van Trouwenfeldt, Johan Karel","Vrints van Trouwenfeldt, Johan Karel"
a::06.3551,"Dryver, de, Joannes","Dryver, de, Joannes","Dryver, de, Joannes"
a::06.3552,"Ghelen, van, Jeremias [Widow]","Ghelen, van, Jeremias [Veuve]","Ghelen, van, Jeremias [Weduwe]"
a::06.3569,"Manilius, Gijsbrecht","Manilius, Gijsbrecht","Manilius, Gijsbrecht"
a::06.3570,Poniroponus [Fictitious printer],Poniroponus [Imprimeur fictif],Poniroponus [Fictieve drukker]
a::06.3571,"Soetaert, Petrus","Soetaert, Petrus","Soetaert, Petrus"
a::06.3572,"Vrient, Joannes Baptista","Vrient, Joannes Baptista","Vrient, Joannes Baptista"
a::06.3573,"Kerchove, vanden, Jan Baptist & Lucas","Kerchove, vanden, Jan Baptist & Lucas","Kerchove, vanden, Jan Baptist & Lucas"
a::06.3574,"Haraeus, Franciscus","Haraeus, Franciscus","Haraeus, Franciscus"
a::06.3575,"Parmentier, Sebastiaen","Parmentier, Sebastiaen","Parmentier, Sebastiaen"
a::06.3576,"Berghe, vanden, Zegher","Berghe, vanden, Zegher","Berghe, vanden, Zegher"
a::06.3577,"Tizzoni, Franciscus","Tizzoni, Franciscus","Tizzoni, Franciscus"
a::06.3578,L.D.C.D.,L.D.C.D.,L.D.C.D.
a::06.3579,"Rave, de, Jacobus","Rave, de, Jacques","Rave, de, Jacobus"
a::06.3582,"Huyssens, Joannes I [Widow]","Huyssens, Jean I [Veuve]","Huyssens, Joannes I [Weduwe]"
a::06.3583,"Huyssens, Leonardus [Widow]","Huyssens, Leonardus [Veuve]","Huyssens, Leonardus [Weduwe]"
a::06.3589,"Bacharach, van, Colophon [Fictitious printer]","Bacharach, van, Colophon [Imprimeur fictif]","Bacharach, van, Colophon [Fictieve drukker]"
a::06.3590,"Goe-maere, Roosemondt [Fictitious printer]","Goe-maere, Roosemondt [Imprimeur fictif]","Goe-maere, Roosemondt [Fictieve drukker]"
a::06.3591,"Phalesius, Petrus II [Heirs]","Phalèse, Pierre II [Héritiers]","Phalesius, Petrus II [Erfgenamen]"
a::06.3592,"Velde, van de, Peeter [Widow]","Velde, van de, Pierre [Veuve]","Velde, van de, Peeter [Weduwe]"
a::06.3593,"Reyns, Jan","Reyns, Jean","Reyns, Jan"
a::06.3594,"Michiels, Alexander I [Widow]","Michiels, Alexander I [Veuve]","Michiels, Alexander I [Weduwe]"
a::06.3595,"Dormael, van, Philippus","Dormael, van, Philippus","Dormael, van, Philippus"
a::06.3596,"Vaerman, John","Vaerman, Jean","Vaerman, Jan"
a::06.3597,"Pers, Hans [Fictitious printer]","Pers, Hans [Imprimeur fictif]","Pers, Hans [Fictieve drukker]"
a::06.3598,"Jaye, Hendrick [Widow]","Jaye, Hendrick [Veuve]","Jaye, Hendrick [Weduwe]"
a::06.3599,"Pee, van, Ignatius [Heirs]","Pee, van, Ignatius [Héritiers]","Pee, van, Ignatius [Erfgenamen]"
a::06.3601,"Michiels, Peeter","Michiels, Peeter","Michiels, Peeter"
a::06.3602,"Zangrius, Petrus III","Zangrius, Petrus III","Zangrius, Petrus III"
a::06.3603,"Fermaut, Peeter","Fermaut, Peeter","Fermaut, Peeter"
a::06.3607,Mank Joosken [Fictitious printer],Mank Joosken [Imprimeur fictif],Mank Joosken [Fictieve drukker]
a::06.3608,"Broers, Peeter Janssen [Fictitious printer]","Broers, Peeter Janssen [Imprimeur fictif]","Broers, Peeter Janssen [Fictieve drukker]"
a::06.3609,"Thienen, van, Hendrick [Fictitious printer]","Thienen, van, Hendrick [Imprimeur fictif]","Thienen, van, Hendrick [Fictieve drukker]"
a::06.3611,"Mommaert, Jan I [Widow]","Mommaert, Jan I [Veuve]","Mommaert, Jan I [Weduwe]"
a::06.3612,"Snuyttaert, Nasianzenus [Fictitious printer]","Snuyttaert, Nasianzenus [Imprimeur fictif]","Snuyttaert, Nasianzenus [Fictieve drukker]"
a::06.3639,"Coppens, Josse","Coppens, Josse","Coppens, Josse"
a::06.3640,"Simonis, Franciscus","Simonis, Franciscus","Simonis, Franciscus"
a::06.3641,"Simonis, Franciscus & Jacobus Zegers","Simonis, Franciscus & Jacobus Zegers","Simonis, Franciscus & Jacobus Zegers"
a::06.3642,"Dormael, van, Philippus & Jacobus Zegers","Dormael, van, Philippus & Jacobus Zegers","Dormael, van, Philippus & Jacobus Zegers"
a::06.3643,"Zegers, Jacobus","Zegers, Jacobus","Zegers, Jacobus"
a::06.3644,"Zegers, Jacobus [Widow]","Zegers, Jacobus [Veuve]","Zegers, Jacobus [Weduwe]"
a::06.3645,"Sassenus, Petrus","Sassenus, Petrus","Sassenus, Petrus"
a::06.3646,"Sassenus, Petrus & Hieronymus Nempe","Sassenus, Petrus & Hieronymus Nempe","Sassenus, Petrus & Hieronymus Nempe"
a::06.3648,"Bellerus, Petrus II & Joannes II","Bellerus, Petrus II & Joannes II","Bellerus, Petrus II & Joannes II"
a::06.3651,"Coenesteyn, Cypriaan","Coenesteyn, Cypriaan","Coenesteyn, Cypriaan"
a::06.3653,"Lipsius, Georgius","Lipsius, Georgius","Lipsius, Georgius"
a::06.3654,"Lipsius, Georgius & Cyprianus Coenesteyn","Lipsius, Georgius & Cyprianus Coenesteyn","Lipsius, Georgius & Cyprianus Coenesteyn"
a::06.3656,"Kerchove, van den, Lucas","Kerchove, van den, Lucas","Kerchove, van den, Lucas"
a::06.3658,"Elzevier, Lodewijk I","Elzevier, Lodewijk I","Elzevier, Lodewijk I"
a::06.3659,"Janssonius van Waesberge, Jan II","Janssonius van Waesberge, Jan II","Janssonius van Waesberge, Jan II"
a::06.3662,"Verdussen, Joannes Baptista I [Widow and son]","Verdussen, Joannes Baptista I [Veuve et fils]","Verdussen, Joannes Baptista I [Weduwe en zoon]"
a::06.3663,"Bellerus, Petrus II","Bellerus, Petrus II","Bellerus, Petrus II"
a::06.3664,"Nutius, Martinus III","Nutius, Martinus III","Nutius, Martinus III"
a::06.3667,"Plantin, Christophe","Plantin, Christophe","Plantijn, Christoffel"
a::06.3668,"Verdussen, Henricus II & Cornelius I","Verdussen, Henricus II & Cornelius I","Verdussen, Henricus II & Cornelius I"
a::06.3669,"Wommer, Petrus [Fictitious printer]","Wommer, Petrus [Imprimeur fictif]","Wommer, Petrus [Fictieve drukker]"
a::06.3670,"Moretus, Balthasar I, Jan II Moretus (widow), & Joannes Meursius","Moretus, Balthasar I, Jan II Moretus (veuve), & Joannes Meursius","Moretus, Balthasar I, Jan II Moretus (weduwe), & Joannes Meursius"
a::06.3672,"Thulden, van, Theodoor","Thulden, de, Théodore","Thulden, van, Theodoor"
a::06.3673,"Lesteens, Guilliam & Hendrik I Aertssens","Lesteens, Guilliam & Hendrik I Aertssens","Lesteens, Guilliam & Hendrik I Aertssens"
a::06.3675,"Moretus, Balthasar I","Moretus, Balthasar I","Moretus, Balthasar I"
a::06.3676,"Galle, Theodorus","Galle, Theodorus","Galle, Theodorus"
a::06.3678,"Nutius, Martinus III & brothers","Nutius, Martinus III & frères","Nutius, Martinus III & broers"
a::06.3679,"Nutius, Martinus III [Heirs]","Nutius, Martinus III [Héritiers]","Nutius, Martinus III [Erfgenamen]"
a::06.3680,"Lisaert, Philippus","Lisaert, Philippus","Lisaert, Philippus"
a::06.3681,"Broers, Peeter Janssen II [Fictitious printer]","Broers, Peeter Janssen II [Imprimeur fictif]","Broers, Peeter Janssen II [Fictieve drukker]"
a::06.3682,"Meurs, van, Jan & Jacobus","Meurs, van, Jan & Jacobus","Meurs, van, Jan & Jacobus"
a::06.3685,"Jeune, le, Pierre [Fictitious printer]","Jeune, le, Pierre [Imprimeur fictif]","Jeune, le, Pierre [Fictieve drukker]"
a::06.3687,"Coenesteyn, Cornelis [Heirs]","Coenesteyn, Cornelis [Héritiers]","Coenesteyn, Cornelis [Erfgenamen]"
a::06.3691,"Vögelin, Ernst","Vögelin, Ernst","Vögelin, Ernst"
a::06.3693,"Bruneau, Robert","Bruneau, Robert","Bruneau, Robert"
a::06.3695,"Tongheren, van, Petrus","Tongheren, van, Petrus","Tongheren, van, Petrus"
a::06.3696,"Galle, Philippe","Galle, Philippe","Galle, Filips"
a::06.3697,"Huybrechts, Adriaan","Huybrechts, Adriaan","Huybrechts, Adriaan"
a::06.3698,"Vervliet, Daniël","Vervliet, Daniël","Vervliet, Daniël"
a::06.3699,"Romanus, Adrianus","Romanus, Adrianus","Romanus, Adrianus"
a::06.3700,"Hulsius, Levinus","Hulsius, Levinus","Hulsius, Levinus"
a::06.3701,"Vivien, Balthazar","Vivien, Balthazar","Vivien, Balthazar"
a::06.3702,"Heyden, vander, Petrus","Heyden, vander, Petrus","Heyden, vander, Petrus"
a::06.3703,"Fuet, Jean [Fictitious printer]","Fuet, Jean [Imprimeur fictif]","Fuet, Johannes [Fictieve drukker]"
a::06.3704,"Walter, Bernard","Walter, Bernard","Walter, Bernard"
a::06.3705,"Nutius, Martinus II [Widow]","Nutius, Martinus II [Veuve]","Nutius, Martinus II [Weduwe]"
a::06.3706,"Veen, van, Otto","Veen, van, Otto","Veen, van, Otto"
a::06.3708,"Heyloo, van, Jacob Willeboortsz.","Heyloo, van, Jacob Willeboortsz.","Heyloo, van, Jacob Willeboortsz."
a::06.3709,"Galle, Joannes","Galle, Joannes","Galle, Joannes"
a::06.3710,"Nutius, Martinus II [Heirs] & Joannes Hetsroy","Nutius, Martinus II [Héritiers] & Joannes Hetsroy","Nutius, Martinus II [Erfgenamen] & Joannes Hetsroy"
a::06.3711,"Dormael, van, Philippus & Jan I Sassenus","Dormael, van, Philippus & Jan I Sassenus","Dormael, van, Philippus & Jan I Sassenus"
a::06.3712,"Sulten, van, Gummarus","Sulten, van, Gummarus","Sulten, van, Gummarus"
a::06.3713,"Hasrey, Juan","Hasrey, Juan","Hasrey, Juan"
a::06.3714,"Wolsschaten, van, Geeraerdt I & Hendrik I Aertssens","Wolsschaten, van, Geeraerdt I & Hendrik I Aertssens","Wolsschaten, van, Geeraerdt I & Hendrik I Aertssens"
a::06.3718,"Sassenus, Jan I","Sassenus, Jan I","Sassenus, Jan I"
a::06.3719,"Sassenus, Jan III","Sassenus, Jan III","Sassenus, Jan III"
a::06.3720,"Sassenus, Jan IV","Sassenus, Jan IV","Sassenus, Jan IV"
a::06.3722,Officina Manilii,Officina Manilii,Officina Manilii
a::06.3723,"Bellerus, Joannes II","Bellerus, Joannes II","Bellerus, Joannes II"
a::06.3724,"Girard, Christophle [Fictitious printer]","Girard, Christophle [Imprimeur fictif]","Girard, Christophle [Fictieve drukker]"
a::06.3725,"Bie, de, Jacobus","Bie, de, Jacobus","Bie, de, Jacobus"
a::06.3726,"Verschueren, Martinus","Verschueren, Martinus","Verschueren, Martinus"
a::06.3728,"Moretus, Balthasar I & John II [Widow]","Moretus, Balthasar I & Jean II [Veuve]","Moretus, Balthasar I & Jan II [Weduwe]"
a::06.3731,"Piespordius, Theodoricus & Theodoricus Mercelius","Piespordius, Theodoricus & Theodoricus Mercelius","Piespordius, Theodoricus & Theodoricus Mercelius"
a::06.3732,"Bolswert, à, Boëtius Adamsz.","Bolswert, à, Boëtius Adamsz.","Bolswert, à, Boëtius Adamsz."
a::06.3733,"Practer, Hans [Fictitious printer]","Practer, Hans [Imprimeur fictif]","Practer, Hans [Fictieve drukker]"
a::06.3734,"Lipp, Balthasar","Lipp, Balthasar","Lipp, Balthasar"
a::06.3736,"Snyders, Michael","Snyders, Michael","Snyders, Michael"
a::06.3737,"Sammerius, Cornelius","Sammerius, Cornelius","Sammerius, Cornelius"
a::06.3740,"Jeghers, Christophe & Jacob van Ghelen","Jeghers, Christophe & Jacob van Ghelen","Jeghers, Christophe & Jacob van Ghelen"
a::06.3757,"Gaesbeeck, van, Jacobus","Gaesbeeck, van, Jacobus","Gaesbeeck, van, Jacobus"
a::06.3759,"Mechelen, van, Jan","Mechelen, van, Jan","Mechelen, van, Jan"
a::06.3774,"Cnobbaert, Michiel [Heirs]","Cnobbaert, Michiel [Héritiers]","Cnobbaert, Michiel [Erfgenamen]"
a::06.3795,"Ghemmert, van, Jan","Ghemmert, van, Jan","Ghemmert, van, Jan"
a::06.3796,"Dormael, van, Philippus & Georgius Lipsius","Dormael, van, Philippus & Georgius Lipsius","Dormael, van, Philippus & Georgius Lipsius"
a::06.3803,"Martinus, Stephanus [Weduwe]","Martinus, Stephanus [Weduwe]","Martinus, Stephanus [Weduwe]"
a::06.3814,"Telu, Pierre [Widow]","Telu, Pierre [Veuve]","Telu, Pierre [Weduwe]"
a::06.3818,"Elzevier, Abraham I & Bonaventura","Elzevier, Abraham I & Bonaventura","Elzevier, Abraham I & Bonaventura"
a::06.3870,"Hacquebaud, Guillaume","Hacquebaud, Guillaume","Hacquebaud, Guillaume"
a::06.3895,"Meerbeeck, van, Lucas","Meerbeeck, van, Lucas","Meerbeeck, van, Lucas"
a::06.3958,"Leopold, Tobias","Leopold, Tobias","Leopold, Tobias"
a::06.3994,"Poolsum, van, Jan Jacob [Weduwe]","Poolsum, van, Jan Jacob [Weduwe]","Poolsum, van, Jan Jacob [Weduwe]"
a::06.3997,"Middeler, Daniel","Middeler, Daniel","Middeler, Daniel"
a::06.40,"Denique, Aegidius I","Denique, Gilles I","Denique, Aegidius I"
a::06.4000,"Dormael, van, Philippus [Widow] & Judocus Coppens","Dormael, van, Philippus [Veuve] & Judocus Coppens","Dormael, van, Philippus [Weduwe] & Judocus Coppens"
a::06.4004,"Verbist, Pierre II","Verbist, Pierre II","Verbist, Petrus II"
a::06.4026,"Meurs, van, Jan & Hieronymus II Verdussen","Meurs, van, Jan & Hieronymus II Verdussen","Meurs, van, Jan & Hieronymus II Verdussen"
a::06.4053,s.n.,s.n.,s.n.
a::06.4056,"Coenesteyn, Cornelis & Georgius Lipsius","Coenesteyn, Cornelis & Georgius Lipsius","Coenesteyn, Cornelis & Georgius Lipsius"
a::06.4062,"Verdussen, Cornelius II [Heirs of the widow]","Verdussen, Cornelius II [Héritiers de la veuve]","Verdussen, Cornelius II [Erfgenamen van de weduwe]"
a::06.4084,"Butkens, Christophe","Butkens, Christophe","Butkens, Christophe"
a::06.4085,"Borrekens, Mattheus","Borrekens, Mattheus","Borrekens, Mattheus"
a::06.4098,"Witte, de, Everaert & Jan Vryenborch","Witte, de, Everaert & Jan Vryenborch","Witte, de, Everaert & Jan Vryenborch"
a::06.4099,"Kerchove, vanden, Jan Baptist","Kerchove, vanden, Jan Baptist","Kerchove, vanden, Jan Baptist"
a::06.4101,"Sanchez, Luis [Widow]","Sanchez, Luis [Veuve]","Sanchez, Luis [Weduwe]"
a::06.4109,"Beys, Christophe","Beys, Christophe","Beys, Christophe"
a::06.4126,"Bellerus, Petrus II & Joannes II & Geeraerdt I van Wolsschaten","Bellerus, Petrus II & Joannes II & Geeraerdt I van Wolsschaten","Bellerus, Petrus II & Joannes II & Geeraerdt I van Wolsschaten"
a::06.4136,"Hastens, van, Hendrik & Petrus II Zangrius","Hastens, van, Hendrik & Petrus II Zangrius","Hastens, van, Hendrik & Petrus II Zangrius"
a::06.4146,"Overbeke, van, Henricus","Overbeke, van, Henricus","Overbeke, van, Henricus"
a::06.4164,"Blageart, Jean [Widow]","Blageart, Jean [Veuve]","Blageart, Jean [Weduwe]"
a::06.4165,"Ouwerx, Jean","Ouwerx, Jean","Ouwerx, Jean"
a::06.4190,"Faciotto, Guglielmo","Faciotto, Guglielmo","Faciotto, Guglielmo"
a::06.4218,"Francq, le, Simon","Francq, le, Simon","Francq, le, Simon"
a::06.4224,"Schilders, Richard","Schilders, Richard","Schilders, Richard"
a::06.4225,"Parra, Andreas","Parra, Andreas","Parra, Andreas"
a::06.4227,"t'Serstevens, Simon","t'Serstevens, Simon","t'Serstevens, Simon"
a::06.4262,"Ghisol, Felipe","Ghisol, Felipe","Ghisol, Felipe"
a::06.4291,"Straub, Lucas","Straub, Lucas","Straub, Lucas"
a::06.434,"Stryckwant, Judocus","Stryckwant, Josse","Stryckwant, Judocus"
a::06.4363,"Schipper, Jan Jacobsz, Lodewijk III Elzevier & Daniel Elzevier","Schipper, Jan Jacobsz, Lodewijk III Elzevier & Daniel Elzevier","Schipper, Jan Jacobsz, Lodewijk III Elzevier & Daniel Elzevier"
a::06.4369,"Pangartius, Petrus & Erycius Rivius","Pangartius, Petrus & Erycius Rivius","Pangartius, Petrus & Erycius Rivius"
a::06.4372,"Barker, Robert","Barker, Robert","Barker, Robert"
a::06.4379,"Auroy, Pierre","Auroy, Pierre","Auroy, Pierre"
a::06.4397,Society of publishers for the ecclesiastical office,Société des imprimeurs de l'office ecclesiastique,Maatschappij van uitgevers van het kerkelijk officie
a::06.4427,"Hastens, van, Hendrik [widow] & Jacobus Zegers","Hastens, van, Hendrik [veuve] & Jacobus Zegers","Hastens, van, Hendrik [weduwe] & Jacobus Zegers"
a::06.4523,"Dooms, Judocus [Weduwe]","Dooms, Judocus [Weduwe]","Dooms, Judocus [Weduwe]"
a::06.4541,"Zangrius, Petrus II","Zangrius, Petrus II","Zangrius, Petrus II"
a::06.4551,"Jode, de, Pierre","Jode, de, Pierre","Jode, de, Pieter"
a::06.4577,"Claudinot, François","Claudinot, François","Claudinot, François"
a::06.4598,"Bingen, Andreas","Bingen, Andreas","Bingen, Andreas"
a::06.460,"Stryckwant, Gilles I","Stryckwant, Egide I","Stryckwant, Gielis I"
a::06.4610,"Phalesius, Petrus II","Phalèse, Pierre II","Phalesius, Petrus II"
a::06.464,"Wolsschaten, van, Geeraerdt II","Wolsschaten, van, Geeraerdt II","Wolsschaten, van, Geeraerdt II"
a::06.4711,"Peltier, Jean-Gabriel","Peltier, Jean-Gabriel","Peltier, Jean-Gabriel"
a::06.4826,"Masius, Joannes I & Philippus Zangrius","Masius, Joannes I & Philippus Zangrius","Masius, Joannes I & Philippus Zangrius"
a::06.5008,"Bellerus, Joannes II & Petrus II [Widow]","Bellerus, Joannes II & Petrus II [Veuve]","Bellerus, Joannes II & Petrus II [Weduwe]"
a::06.5020,"Bellerus, Petrus II & Joannes II & associates","Bellerus, Petrus II & Joannes II & associés","Bellerus, Petrus II & Joannes II & compagnons"
a::06.5074,"Sanchez, Luis","Sanchez, Luis","Sanchez, Luis"
a::06.5075,"Verdussen, Hieronymus II, Guilliam Lesteens & Hendrik Aertssens","Verdussen, Hieronymus II, Guilliam Lesteens & Hendrik Aertssens","Verdussen, Hieronymus II, Guilliam Lesteens & Hendrik Aertssens"
a::06.5136,"Vleugaert, Peeter [Widow]","Vleugaert, Peeter [Veuve]","Vleugaert, Peeter [Weduwe]"
a::06.5145,"Bronckart, Jean-François","Bronckart, Jean-François","Bronckart, Jean-François"
a::06.5166,"Mabre-Cramoisy, Sébastien","Mabre-Cramoisy, Sébastien","Mabre-Cramoisy, Sébastien"
a::06.5189,"Michallet, Etienne","Michallet, Etienne","Michallet, Etienne"
a::06.5196,"Verdussen, Joannes Baptista I [Widow]","Verdussen, Joannes Baptista I [Veuve]","Verdussen, Joannes Baptista I [Weduwe]"
a::06.5232,"Prat, du, Louis","Prat, du, Louis","Prat, du, Louis"
a::06.5265,"Moretus, Franciscus Joannes [Widow]","Moretus, Franciscus Joannes [Veuve]","Moretus, Franciscus Joannes [Weduwe]"
a::06.5266,"Janssonius van Waesberge, Johannes I & Elizeus I Weyerstraten [Widow]","Janssonius van Waesberge, Johannes I & Elizeus I Weyerstraten [Veuve]","Janssonius van Waesberge, Johannes I & Elizeus I Weyerstraten [Weduwe]"
a::06.5268,"Coppens, Josse [Widow]","Coppens, Josse [Veuve]","Coppens, Josse [Weduwe]"
a::06.5276,"Moretus, Joannes Jacobus","Moretus, Joannes Jacobus","Moretus, Joannes Jacobus"
a::06.5287,"Urban, Louis Joseph","Urban, Louis Joseph","Urban, Louis Joseph"
a::06.5288,"Verdussen, Joannes Baptista II","Verdussen, Joannes Baptista II","Verdussen, Joannes Baptista II"
a::06.5291,"Moretus, Balthasar III [Widow]","Moretus, Balthasar III [Veuve]","Moretus, Balthasar III [Weduwe]"
a::06.5292,"Verdussen, Cornelius Franciscus","Verdussen, Cornelius Franciscus","Verdussen, Cornelius Franciscus"
a::06.5293,"Moretus, Franciscus Joannes","Moretus, Franciscus Joannes","Moretus, Franciscus Joannes"
a::06.5294,"Moretus, Balthasar III","Moretus, Balthasar III","Moretus, Balthasar III"
a::06.5304,"Moretus, Balthasar IV","Moretus, Balthasar IV","Moretus, Balthasar IV"
a::06.5310,"Verdussen, Joannes Paulus","Verdussen, Joannes Paulus","Verdussen, Joannes Paulus"
a::06.5434,"Wainne, de, Ludovicus","Wainne, de, Ludovicus","Wainne, de, Ludovicus"
a::06.5438,"Jacobs, Petrus","Jacobs, Petrus","Jacobs, Petrus"
a::06.5460,"Hanicq, Petrus-Josephus","Hanicq, Pierre-Joseph","Hanicq, Petrus-Josephus"
a::06.5461,"Moretus, Albertus","Moretus, Albertus","Moretus, Albertus"
a::06.5470,"Elst, vander, Joannes Franciscus","Elst, vander, Joannes Franciscus","Elst, vander, Joannes Franciscus"
a::06.5471,"Jacobs, Joannes","Jacobs, Joannes","Jacobs, Joannes"
a::06.5482,"Kalcovius, Jodocus & associates","Kalcovius, Jodocus & associés","Kalcovius, Jodocus & vennoten"
a::06.5484,"Bras-fort, Etienne [Fictitious printer]","Bras-fort, Etienne [Imprimeur fictif]","Bras-fort, Etienne [Fictieve drukker]"
a::06.5485,"Vray, le, Jean [Fictitious printer]","Vray, le, Jean [Imprimeur fictif]","Vray, le, Jean [Fictieve drukker]"
a::06.5505,"Leonard, Jean I","Leonard, Jean I","Leonard, Jean I"
a::06.5540,"Lazaris, de, Ignatius","Lazaris, de, Ignatius","Lazaris, de, Ignatius"
a::06.5543,Immaculata Conceptionis,Immaculata Conceptionis,Immaculata Conceptionis
a::06.5545,"Jacobs, Petrus [Widow]","Jacobs, Pierre [Veuve]","Jacobs, Petrus [Weduwe]"
a::06.5559,"Pralard, André","Pralard, André","Pralard, André"
a::06.5562,"Aubin, Laurent","Aubin, Laurent","Aubin, Laurent"
a::06.5567,"Klumper, Albertus","Klumper, Albertus","Klumper, Albertus"
a::06.5569,"Welleus, Hieronymus I","Welleus, Hieronymus I","Welleus, Hieronymus I"
a::06.5579,"Denique, Petrus Augustinus","Denique, Petrus Augustinus","Denique, Petrus Augustinus"
a::06.5586,"Aertssens, Hendrik I & Hieronymus III Verdussen","Aertssens, Hendrik I & Hieronymus III Verdussen","Aertssens, Hendrik I & Hieronymus III Verdussen"
a::06.5587,"Witte, de, Adriaen & Martinus Hullegaerde","Witte, de, Adriaen & Martinus Hullegaerde","Witte, de, Adriaen & Martinus Hullegaerde"
a::06.5590,"Aertssens, Hendrik I & Cornelius Woons","Aertssens, Hendrik I & Cornelius Woons","Aertssens, Hendrik I & Cornelius Woons"
a::06.5591,"Metelen, van, Frederik","Metelen, van, Frederik","Metelen, van, Frederik"
a::06.5598,"Claudinot, Antoine","Claudinot, Antoine","Claudinot, Antoine"
a::06.5608,"Verdussen, Henricus II & Cornelius I Verdussen & Bartholomeus Foppens & Joannes Baptista Verdussen","Verdussen, Henricus II & Cornelius I Verdussen & Bartholomeus Foppens & Joannes Baptista Verdussen","Verdussen, Henricus II & Cornelius I Verdussen & Bartholomeus Foppens & Joannes Baptista Verdussen"
a::06.5609,"Schipper, Jan Jacobsz [Widow]","Schipper, Jan Jacobsz [Veuve]","Schipper, Jan Jacobsz [Weduwe]"
a::06.5614,"Roulland, Lambert","Roulland, Lambert","Roulland, Lambert"
a::06.5623,"Tielens, Antheunis [Widow]","Tielens, Antheunis [Veuve]","Tielens, Antheunis [Weduwe]"
a::06.5624,"Kellam, Laureys","Kellam, Laureys","Kellam, Laureys"
a::06.5625,"Smedt, de, Johannes","Smedt, de, Johannes","Smedt, de, Johannes"
a::06.5626,"Scheffers, Jan","Scheffers, Jan","Scheffers, Jan"
a::06.5627,"Potter, de, Lucas","Potter, de, Lucas","Potter, de, Lucas"
a::06.5631,"Metelen, van, Joachim [Widow]","Metelen, van, Joachim [Veuve]","Metelen, van, Joachim [Weduwe]"
a::06.5642,Societas,Societas,Societas
a::06.5664,"Velde, van de, Franciscus [Widow]","Velde, van de, Franciscus [Veuve]","Velde, van de, Franciscus [Weduwe]"
a::06.5665,"Keerberghen, van, Jan I & Hieronymus II Verdussen","Keerberghen, van, Jan I & Hieronymus II Verdussen","Keerberghen, van, Jan I & Hieronymus II Verdussen"
a::06.5676,"Verdussen, Hieronymus III [Widow and heirs]","Verdussen, Hieronymus III [Veuve et héritiers]","Verdussen, Hieronymus III [Weduwe en erfgenamen]"
a::06.5697,Stamperia camerale,Stamperia camerale,Stamperia camerale
a::06.5708,"Sloovere, de, Martinus","Sloovere, de, Martin","Sloovere, de, Martinus"
a::06.5733,"Robyns, Johannes Paulus","Robyns, Johannes Paulus","Robyns, Johannes Paulus"
a::06.5739,"Moulin, du, Jacobus","Moulin, du, Jacobus","Moulin, du, Jacobus"
a::06.5747,"Gherwen, van, Jacobus Antonius","Gherwen, van, Jacobus Antonius","Gherwen, van, Jacobus Antonius"
a::06.5748,"Plassche, van der, Bernardus Albertus","Plassche, van der, Bernardus Albertus","Plassche, van der, Bernardus Albertus"
a::06.5756,"Plassche, van der, Petrus Joannes","Plassche, van der, Petrus Joannes","Plassche, van der, Petrus Joannes"
a::06.5758,"Beken, van der, Johannes Nicolaus","Beken, van der, Johannes Nicolaus","Beken, van der, Johannes Nicolaus"
a::06.5760,Royal press,Imprimerie Royale,Koninklijke drukkerij
a::06.5761,"Brussels, imperial and royal academy","Bruxelles, académie impériale et royale","Brussel, keizerlijke en koninklijke academie"
a::06.5762,"Tongerlo, abbey","Tongerlo, abbaye","Tongerlo, abdij"
a::06.5763,"Greuse, Alphonse","Greuse, Alphonse","Greuse, Alphonse"
a::06.5765,"Verschueren, Cornelis & Martinus","Verschueren, Cornelis & Martinus","Verschueren, Cornelis & Martinus"
