Loi,E,F,N
a::06.3023,"Diest, van, Laureis","Diest, van, Laureis","Diest, van, Laureis"
a::06.3024,"Dobbeleer, de, Peeter","Dobbeleer, de, Peeter","Dobbeleer, de, Peeter"
a::06.3026,"Doppes, Laurent","Doppes, Laurent","Doppes, Laurens"
a::06.3029,"Dunwalt, van, Hendrick II","Dunwalt, van, Hendrick II","Dunwalt, van, Hendrick II"
a::06.3031,"Elst, vander, Laurentius","Elst, vander, Laurentius","Elst, vander, Laurentius"
a::06.3032,"Everaerts, Alexander Josephus","Everaerts, Alexander Josephus","Everaerts, Alexander Josephus"
a::06.3033,"Eyck, van, Philips","Eyck, van, Philips","Eyck, van, Philips"
a::06.3034,"Fabri, Franciscus","Fabri, François","Fabri, Franciscus"
a::06.3035,"Fabri, Gregorius","Fabri, Gregorius","Fabri, Gregorius"
a::06.3036,"Faes, Daniel","Faes, Daniel","Faes, Daniel"
a::06.3037,"Fevre, le, Nicolas","Fevre, le, Nicolas","Fevre, le, Nicolas"
a::06.3039,"Fickaert, Frans I","Fickaert, François I","Fickaert, Frans I"
a::06.3040,"Fickaert, Frans II","Fickaert, François II","Fickaert, Frans II"
a::06.3042,"Foppens, Bartholomeus","Foppens, Bartholomeus","Foppens, Bartholomeus"
a::06.3043,"Foppens, Bartholomeus [Widow]","Foppens, Bartholomeus [Veuve]","Foppens, Bartholomeus [Weduwe]"
a::06.3044,"Foppens, Franciscus I","Foppens, François I","Foppens, Franciscus I"
a::06.3048,"Fricx, Eugenius Henricus II","Fricx, Eugène Henri II","Fricx, Eugenius Henricus II"
a::06.3049,"Friessem, Johann Wilhelm II","Friessem, Johann Wilhelm II","Friessem, Johann Wilhelm II"
a::06.3052,"Gaesbeeck, van, Franciscus I","Gaesbeeck, van, Franciscus I","Gaesbeeck, van, Franciscus I"
a::06.3053,"Gaesbeeck, van, Gaspar","Gaesbeeck, van, Gaspar","Gaesbeeck, van, Gaspar"
a::06.3058,"Geluwe, van, Arnout","Geluwe, van, Arnout","Geluwe, van, Arnout"
